Song Name,Artist,Album
Söyle,Deniz Sungur,Toz
7,Arctic Monkeys,When The Sun Goes Down
Her Şey Yolunda,Mervan Tuzcuoğlu,Her Şey Yolunda
Belki Veda,Boş Kemikler,Belki Veda
Çoban Yıldızı,Teoman,İnsanlık Halleri
Cigarette Burns,Abby Roberts,Ashes
Çok Yorgunum,Cem Karaca,Merhaba Gençler
Resimdeki Gözyaşları,Cem Karaca,Cemaz-Ûl-Evvel (Güldeste)
Addiction,Vlad Holiday,Fall Apart with Me
Escapism.,RAYE,Escapism. / The Thrill Is Gone.
Mayın Tarlası,Şebnem Ferah,Kelimeler Yetse
Erik Satie: Gymnopédie No. 1,Pyotr Godunov,Erik Satie Gymnopédies
Ave Maria,Charles Gounod,Songs from the Arc of Life
The Lamp Is Low,Chet Baker Quartet,Chet Baker Quartet Featuring Russ Freeman (Expanded Edition)
İntihaşk,Onur Can Özcan,Yaramızda Kalsın
Gül Pembe,Barış Manço,"Mançoloji, Vol. 1"
The Hills,The Weeknd,Beauty Behind The Madness
Unutama Beni,Esmeray,En İyileriyle Esmeray
O Ben Olamam,Mavi Gri,O Ben Olamam
Böyle Kahpedir Dünya,Gripin,Gripin
Unutulanlar,Burakrhyme,Unutulanlar
Winter Snakes,Joy Again,Joy Again
Moonlight on the River,Mac DeMarco,This Old Dog
Lavanta,Stabil,Stabil
Ben Kimim,Stabil,Stabil
Cehennemin Dibi,No.1,Cehennemin Dibi
Watching Him Fade Away,Mac DeMarco,This Old Dog
Necromancer,Joy Again,Joy Again
Vas,jagger finn,Triplbt Theme
Hiç İyi Değilim,Dolu Kadehi Ters Tut,Hiç İyi Değilim
İstediğin Gibi Kullan,Jakuzi,Fantezi Müzik
"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites
Orospunun Tekine Elveda,Xnightsix,Orospunun Tekine Elveda
Hold On Till May,Pierce The Veil,Collide With The Sky
Stained Glass Eyes And Colorful Tears,Pierce The Veil,Collide With The Sky
100 Letters,Halsey,hopeless fountain kingdom (Deluxe)
Beni Sen İnandır,Pinhani,Kediköy
Love Of My Life - Remastered 2011,Queen,A Night At The Opera (2011 Remaster)
The Show Must Go On,Queen,Bohemian Rhapsody (The Original Soundtrack)
Anlamazdın,Ayla Dikmen,Klasikler (Orijinal Kayıtlar)
Eskimiş Senelere,Aspova,Hell
Suç,Aspova,Matrix (Red)
Sağanak,Aspova,Matrix (Red)
Cemetry Gates - 2011 Remaster,The Smiths,The Queen Is Dead
Uyu,Skapova,Ben Senden Vazgeçtim
Wolf River,Reignwolf,Hear Me Out
Bugün Biraz İçtim (feat. Ezhel & Grogi),Anıl Piyancı,Batı Yakası
Ben Senden Vazgeçtim,Skapova,Ben Senden Vazgeçtim
Sevda Çiçeği,mor ve ötesi,Dünya Yalan Söylüyor
Einaudi: Una mattina,Ludovico Einaudi,Emotions
Yalnız Kalsın,Hayko Cepkin,Tanışma Bitti
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Sen Bana Aitsin,Skapova,Ben Senden Vazgeçtim
Neden Bu Kadar Güzelsin?,Skapova,Ben Senden Vazgeçtim
"Comptine d'un autre été: l'Après-midi (from ""Amélie"")",Jacob's Piano,4 Soundtracks
High and Dry,Radiohead,The Bends
Heartless,The Weeknd,After Hours
Kendimden Geriye,Çilekeş,Y.O.K.
Senden Yoksun,Madrigal,Senden Yoksun
İyi Değilim,Sufle,İyi Değilim
Hiç Işık Yok,No.1,Siyah Bayrak
Beyond the Realms of Death,Judas Priest,Stained Class
Days Of Future Past,Iron Maiden,Senjutsu
Around the Fur,Deftones,Around the Fur
"deniyorum, ama",Mavi,"deniyorum, ama"
Love Like You (feat. Rebecca Sugar) - End Credits,Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)"
Once Upon a Time,Evgeny Grinko,Tiny Mouse Tales
Van Gogh,Virginio Aiello,Van Gogh
Pus,Sufle,Pus
Neyse,Skapova,Ben Senden Vazgeçtim
Zamanla Ya Da Zorla,Skapova,Zamanla Ya Da Zorla
Görünce Dünyamın Yıkıldığını,Şanışer,Umut
Heaven,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing
Senden Önce Senden Sonra,Teoman,Teo
On Dokuz(19) - Demo,Rei 6,Dibe İniyorum (Demo)
Ben Alışığım - Demo,Rei 6,Dibe İniyorum (Demo)
Olmuyor Bak,Ayça Özefe,Olmuyor Bak
Hikaye,Adamlar,Dünya Günlükleri
Boys Don't Cry,The Cure,Greatest Hits
Chocolate and the Favorite Gun,Seven Day Sleep,A Home for Disgusting Fairies
Special Death,Mirah,Advisory Committee
Butch 4 Butch,Rio Romeo,Butch 4 Butch
Carmen,Lana Del Rey,Born To Die - The Paradise Edition
Pretty When You Cry,Lana Del Rey,Ultraviolence (Deluxe)
Down By The River,Milky Chance,Sadnecessary
Lonely Day,Vitamin String Quartet,VSQ Performs System of A Down's Hypnotize
カワキヲアメク,美波,カワキヲアメク
Bigmouth Strikes Again - 2011 Remaster,The Smiths,The Queen Is Dead
Bury the Light,Casey Edwards,Bury the Light
Duality,Slipknot,Vol. 3: The Subliminal Verses
Kill the Pain,Accept,Blood of the Nations
No Hope in Sight,Paradise Lost,The Plague Within
Angelica,Anathema,Hindsight
To Leave,Shamrain,Someplace Else
A Natural Disaster - Remastered,Anathema,A Natural Disaster (Remastered)
Lullaby,Hypnogaja,Kill Switch
Lonely Day,System Of A Down,Hypnotize
Labyrinth,Taylor Swift,Midnights
Tın Tın,Adamlar,Rüyalarda Buruşmuşuz
Kadın,Adamlar,Eski Dostum Tankla Gelmiş
Bi Öyle Bi Böyle,Adamlar,Eski Dostum Tankla Gelmiş
Çek Sifonu,Adamlar,Eski Dostum Tankla Gelmiş
Die For You,Joji,SMITHEREENS
Öyle Normal,Adamlar,Eski Dostum Tankla Gelmiş
SPIT IN MY FACE!,ThxSoMch,SPIT IN MY FACE!
Ananla Olan Münasebetim,Düz Mantık,Evet
Cupid,Alexandra Savior,Belladonna of Sadness
Obsesif Hisler,Mehmet Alp,Böyle Olsun İstemedim
Mary On A Cross,Ghost,[MESSAGE FROM THE CLERGY]
Yeni Günler,Yabancılar,Yeni Günler
Kıyamet Senfonisi,Almora,Kıyamet Senfonisi
Alışırım Gözlerimi Kapamaya,maNga,Şehr-i Hüzün
Gözlerin,kerem,Gözlerin
Zaman Yok,Son Feci Bisiklet,Zaman Yok
Lonely Day,System Of A Down,Hypnotize
Save Your Tears,The Weeknd,After Hours
özür dilerim üzülemediğim için,uclercagri,oyunlar
Renklerim,Soft Analog,Renklerim
Promises,Megadeth,The World Needs a Hero
I Am Nothing,Katatonia,Tonight's Decision
Pain - Remastered,Blackfield,Blackfield (Remastered)
Faded Out (feat. Within Temptation),Asking Alexandria,See What's On The Inside (Deluxe)
Paranova,Antimatter,Fear of a Unique Identity
Paranoid,Megadeth,Hidden Treasures
Holy Wars...The Punishment Due - 2004 Remix,Megadeth,Rust In Peace (2004 Remix / Expanded Edition)
Crazy,Gnarls Barkley,St. Elsewhere
If You Can't Hang,Sleeping With Sirens,Let's Cheers To This
King For A Day,Pierce The Veil,Collide With The Sky
Kick Me,Sleeping With Sirens,Madness (Deluxe Edition)
Damage,Fit For Rivals,Steady Damage
I Hate Everything About You,Three Days Grace,Three Days Grace (Expanded Edition)
Hell Above,Pierce The Veil,Collide With The Sky
Yine Gel,Son Dört,Yol Yorgunu
1692,Cottonwood Firing Squad,1692
Renk,Renk,Kıyı
Dark Paradise,Lana Del Rey,Born To Die (Deluxe Version)
i wanna be your girlfriend,girl in red,i wanna be your girlfriend
So Damn Into You,Vlad Holiday,So Damn Into You
Dursun Zaman - Demo,Rei 6,Dibe İniyorum (Demo)
Gökyüzünü Tutamam,Can Koç,Gökyüzünü Tutamam
Kupa Kızı Ve Sinek Valesi,Teoman,Teo
The French Library,Franz Gordon,The French Library
Biri Vardı,Pera,En Güzel Mevsimim
Yağmur,Cem Adrian,Aşk Bu Gece Şehri Terk Etti
Paranoya,Hayko Cepkin,Aşkın Izdırabını
Seninim Son Kez,Teoman,Eski Bir Rüya Uğruna...
My Life Is Going On (Piano Version),Cecilia Krull,Hard
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,Louder Than Bombs
Sen Hep Böyle Kal,Cem Adrian,Siyah Bir Veda Öpücüğü
Flying - Live,Anathema,Universal
Yardım Et,mor ve ötesi,Dünya Yalan Söylüyor
Oh Darlin' What Have I Done,The White Buffalo,Prepare for Black and Blue - EP
We Could Be The Same - Istanbul,maNga,We Could Be The Same
Ah Canım Sevgilim - Demo,Rei 6,Dibe İniyorum (Demo)
Bu Şarkı Aşka Yazıldı,Cem Adrian,Bu Şarkı Aşka Yazıldı
ben seni nasıl kaybettim s*kiyim,uclercagri,turuncu
Tek Başına,Ayten Alpman,Ayten Alpman Klasikleri (Türk Pop Tarihi)
Son Arzum,Nilüfer,Selam Söyle
Elfida,Haluk Levent,Akşam Üstü
"Yağmur, Teşekkürler",mor ve ötesi,Güneşi Beklerken
Broken Pieces,Apocalyptica,7th Symphony
Hep De Yorgun,Yaşlı Amca,Keşke Herkes
End of Me,Apocalyptica,7th Symphony
I'm Not Jesus - International Version,Apocalyptica,Worlds Collide
"If You Were There, Beware",Arctic Monkeys,Favourite Worst Nightmare
Fragile Dreams - Studio,Anathema,Resonance 2
Flying - Remastered,Anathema,A Natural Disaster (Remastered)
One Last Goodbye - Remastered,Anathema,Judgement (Remastered)
Yalnız Ölmek,Can Güngör,Yalnız Ölmek
Re,mor ve ötesi,Dünya Yalan Söylüyor
Tek Başına,Rana Türkyılmaz,Tek Başına
imkansız bir aşk denir,yunusemre,imkansız bir aşk denir
Cambaz,mor ve ötesi,Dünya Yalan Söylüyor
Back to the Old House - 2011 Remaster,The Smiths,Louder Than Bombs
This Charming Man - 2011 Remaster,The Smiths,The Smiths
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead
Bana Unutmayı Anlat,Cem Adrian,Bana Unutmayı Anlat
Mind Over Matter (Reprise),Young the Giant,Mirrorball / Mind Over Matter (Reprise)
no turning back,Koda,no turning back
Fallin',Sufle,Fallin'
Raindrops,Shamrain,Goodbye To All That
This I Love,Guns N' Roses,Chinese Democracy
kalbimden tenime,Canozan,kapalı perdeler
TV,Billie Eilish,Guitar Songs
I Don't Care,Apocalyptica,Worlds Collide
Not Strong Enough,Apocalyptica,7th Symphony
Pretty Fly (For A White Guy),The Offspring,Americana
The Kids Aren't Alright,The Offspring,Americana
You Oughta Know - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster)
Ironic - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster)
Dip,Madrigal,Neogazino
Son Arzum,Masal Freedom,Son Arzum
Son Arzum,Skapova,Son Arzum
Kır Papatyası,Bahadır Sağlam,Mavi
Teardrop,Massive Attack,Mezzanine
Beni Rahatta Dinleyin,Son Feci Bisiklet,Kaset Zamanları
Tek Başına,Pilli Bebek,Kaset Zamanları
Ceviz Ağacı,Cem Karaca,Merhaba Gençler
Hello?,Clairo,diary 001
Dönersen Islık Çal,Manuş Baba,Dönersen Islık Çal
Phoenix,League of Legends,Phoenix
Merhabalar,Emre Fel,Yeni Anadolu
засыпай,ssshhhiiittt!,Третья жизнь
Here Comes The Rain Again,Hypnogaja,Below Sunset
I'm not angry anymore,Cummrs,I'm not angry anymore
I Love You Like an Alcoholic,Six Steps In,Folk Punk Stars
Dünyanın En Güzel Kızı,Mavi Gri,Dünyanın En Güzel Kızı
"Living Life, In The Night",Cheriimoya,"Living Life, In The Night"
Let's Fall in Love for the Night (1964),FINNEAS,Blood Harmony (Deluxe)
Utanmazsan Unutmam,Adamlar,Eski Dostum Tankla Gelmiş
Daha Mutlu Olamam,mor ve ötesi,Gül Kendine
Love Me,Zyrex,Love Me
October Passed Me By,girl in red,October Passed Me By
I Don't Wanna See You Cryin' Anymore,Adam Melchor,Plan On You
Liking All Your Posts,Oscar Lang,Silk
And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings
Nervous,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing
feelings are fatal,mxmtoon,plum blossom
enough for you,Olivia Rodrigo,SOUR
The Story,Conan Gray,Kid Krow
Each Time You Fall In Love,Cigarettes After Sex,Cigarettes After Sex
You're All I Want,Cigarettes After Sex,You're All I Want
Michelle,Sir Chloe,Party Favors
Arms Tonite,Mother Mother,O My Heart
Abbey,Mitski,Lush
Oyunbozan,mor ve ötesi,Güneşi Beklerken
Billie Bossa Nova,Billie Eilish,Happier Than Ever
HAUNTED,Isabel LaRosa,HAUNTED
Aşk Şarkısı,Şanışer,Umut
Aşk Şarkısı - Live,Şanışer,Aşk Şarkısı (Live)
Zombi,Adamlar,Dünya Günlükleri
İnsanın Düştüğü Durumlar,Adamlar,Eski Dostum Tankla Gelmiş
NKBİ,Güneş,Atlantis
Yoruldum,Adamlar,Dünya Günlükleri
Küçüğüm,Adamlar,Küçüğüm
Doldum,Adamlar,Dünya Günlükleri
Jealous,Eyedress,Jealous
Notion,The Rare Occasions,Notion
I Don't Know How To Love,The Drums,Portamento
Young,Vacations,Vibes
The Beach,The Neighbourhood,Wiped Out!
Chamber Of Reflection,Mac DeMarco,Salad Days
Sleeping Beauty Syndrome,April Rain,Mirror of Ether
Yüzündeki Ürkek Güzellik,Açık Seçik Aşk Bandosu,Yüzündeki Ürkek Güzellik
Carousel,Evgeny Grinko,Tiny Mouse Tales
Dusty Room,Evgeny Grinko,Naive Album
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,I.
Sweet,Cigarettes After Sex,Cigarettes After Sex
Born To Die,Lana Del Rey,Born To Die - The Paradise Edition
WHY,NF,The Search
Rüyalarda Buruşmuşum,Adamlar,Rüyalarda Buruşmuşuz
Romantic Homicide,d4vd,Romantic Homicide
Miss You,Oliver Tree,Victoria's Secret - Pop Bangers
Miss You,southstar,Miss You
Miss You,Oliver Tree,Miss You
Until I Found You,Stephen Sanchez,Until I Found You
İnsanlık Hali,Adamlar,Harekete kimse mâni olamaz.
"Machinery Of Torment (From The Netflix Film ""Metal Lords"")",Skullflower,"Machinery Of Torment (From The Netflix Film ""Metal Lords"")"
hesitation,Andrew Garden,hesitation
Çirkin Olunca,Barış Kocatürk,Kesin Kesiktir
Bu Havada Gidilmez,Manuş Baba,Ve Nazan Öncel Şarkıları
All Gone (Reunion),Gustavo Santaolalla,The Last of Us - Vol. 2 (Video Game Soundtrack)
Again,Shiloh Dynasty,Vivid Pictures
Same Old Love,Selena Gomez,Revival (Deluxe)
Tekel Mavisi,No.1,Siyah Bayrak
Yine Yeni Yeniden - Yeniden Sev,maNga,Yine Yeni Yeniden (Yeniden Sev)
Sunsetz,Cigarettes After Sex,Cigarettes After Sex
Apocalypse,Cigarettes After Sex,Cigarettes After Sex
METAMORPHOSIS - Sped Up,INTERWORLD,METAMORPHOSIS (Sped Up)
METAMORPHOSIS,INTERWORLD,METAMORPHOSIS
Cigarette Daydreams - Unpeeled,Cage The Elephant,Unpeeled
Cigarette Daydreams,Cage The Elephant,Melophobia
Lost Kitten,Metric,Synthetica (Deluxe Edition)
NAYN BABY,CyberRulz,NAYN BABY
Superman,Eminem,The Eminem Show
Sen Orda Yoksun,Göksel,Sen Orda Yoksun
Sadece,kerem,Sadece
Jahrein /Intro /Version1,Can Onaran,Jahrein /Intro /Version1
Some Sand,ibi,Some Sand
Keşke Burada Olsan,Ansızın Bi' İnfilak,Keşke Burada Olsan
The Kids Are Back,Twisted Sister,You Can't Stop Rock 'N' Roll
M.,Anıl Emre Daldal,M.
ama hala,Mavi,ama hala
Bu Akşam,Duman,Belki Alışman Lazım
Vedalardan Bir Buket,Perdenin Ardındakiler,Vedalardan Bir Buket
Değmesin Ellerimiz,Model,Diğer Masallar
Belki Üstümüzden Bir Kuş Geçer,Yüksek Sadakat,Yüksek Sadakat
Orda Ortada,Adamlar,Rüyalarda Buruşmuşuz
Ateş Ederim,Adamlar,Eski Dostum Tankla Gelmiş
Bekle Dedi Gitti - Çizik,Kaan Tangöze,Gölge Etme
Aklımda Biri Var,Belki Biraz,Modafinil
People You Know,Selena Gomez,Rare
Kapısı Kapalı,Adamlar,Eski Dostum Tankla Gelmiş
Tourner Dans Le Vide,Indila,Mini World
Herkesim,Aqtaii,Herkesim
Ocean Drive,Duke Dumont,Ocean Drive
Affet Beni Sevgilim,Ege Balkiz,Affet Beni Sevgilim
Bones,Imagine Dragons,Bones
Popular Monster,Falling In Reverse,Popular Monster
Prom Queen,Beach Bunny,Prom Queen
O Bi Karamel,Ozbi,Dünya'm 20:24
Little Dark Age,MGMT,Little Dark Age
Bir Derdim Var,mor ve ötesi,Dünya Yalan Söylüyor
It's Snowing Like It's the End of the World,Krobak,Little Victories
Herkesten Güzelsin,Façanga,Herkesten Güzelsin
Tövbe,Mary Jane,Tövbe
Ankara Kapkara,Yüzyüzeyken Konuşuruz,Evdekilere Selam
Bad Habit,Steve Lacy,Bad Habit
Can't Remember to Forget You (feat. Rihanna),Shakira,Shakira. (Expanded Edition)
Dandelions,Ruth B.,Safe Haven
Olsun,Sertab Erener,Kırık Kalpler Albümü
Motorbreath - Remastered,Metallica,Kill 'Em All (Remastered)
Ava,Famy,Teen Wolf (Original Television Soundtrack)
Atlantis,Seafret,Tell Me It's Real (Expanded Edition)
Uyku,Son Feci Bisiklet,Sistemik
Koca Bir Saçmalık,Jakuzi,Fantezi Müzik
Uykusuz ve Dengesiz,Yüzyüzeyken Konuşuruz,Akustik Travma
Gençliğimi Geri Ver,Yüzyüzeyken Konuşuruz,Gençliğimi Geri Ver
Under The Influence,Chris Brown,Indigo (Extended)
Yaz Geçer,Yüzyüzeyken Konuşuruz,Evdekilere Selam
Annem Eteğimi Vermedi,Padme,Bugün
Bağımlı Karanlığa,163,Bağımlı Karanlığa
Tamirci Çırağı,Cem Karaca,Ölümsüzler
Melek,Duman,Seni Kendime Sakladım
Ateş Edecek Misin?,Yüzyüzeyken Konuşuruz,Evdekilere Selam
Bir Tek Sen Gelmedin,Flört,Cemiyette Pişiyoruz
Bırakman Doğru Mu 2,Zeynep Bastık,Bırakman Doğru Mu 2
Cool Kids,Echosmith,Talking Dreams (Deluxe Edition)
İstanbul Beyefendisi,Yaşlı Amca,Akşamüstü
Sar Bu Şehri - Akustik,Canozan,Dolunay
Mad at Disney,salem ilese,Mad at Disney
2T1BB,BEGE,2T1BB
Zor,Güneş,Atlantis
Kimsesiz,Yaşlı Amca,Akşamüstü
Fourth of July,Sufjan Stevens,Carrie & Lowell
Öyle kolay aşık olmam,Canozan,Öyle kolay aşık olmam
Stolen Dance,Milky Chance,Sadnecessary
Lost on You,LP,Lost on You
Remembrance,Balmorhea,"All Is Wild, All Is Silent"
Glimpse of Us,Joji,Glimpse of Us
Valse,Evgeny Grinko,Ice for Aureliano Buendia (Deluxe Edition)
Heather,Conan Gray,Kid Krow
Bubble Gum,Clairo,Bubble Gum
Suçlarımdan Biri,Güneş,Atlantis
Better Than Feeling Lonely - Stripped,Olivia O'Brien,Better Than Feeling Lonely (Stripped)
Acıyor,Göksel,Bende Bi' Aşk Var
HOŞÇAKAL KADAR,Büyük Ev Ablukada,FIRTINAYT
Başa Sar,Ege Can Sal,Başa Sar
Kişisel Bir İntihar,Kres,Zaman Yok
Test & Recognise - Flume Re-work,Seekae,Test & Recognise (Remixes)
The Unforgiven,Metallica,Metallica
Paradise,Loumé,Paradise
Party Tonight,The Shipp of Fools,Party Tonight
Party Tonight,Joe Hedourix,Party Tonight
Far Beyond The Sun,Yngwie Malmsteen,The Yngwie Malmsteen Collection
Soldier Of Fortune - 2009 Digital Remaster,Deep Purple,Stormbringer (Remastered)
Eruption,Van Halen,Best of Volume 1
Your Light,Pablo Leo,Your Light
Turn It Up,Vwhie,Turn It Up
Feragât,Reckol,Feragât
Euphoria,Andora,Euphoria
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love
Smoke on the Water,Deep Purple,Deepest Purple: The Very Best of Deep Purple
One Hundred Sleepless Nights,Pierce The Veil,Collide With The Sky
Gördüm Günümü,Kaan Boşnak,Demos
Ara,Sedef Sebüktekin,Ara
After Dark,Mr.Kitty,Time
"Violin Concerto No. 1 in G minor, Op. 26: 1. Vorspiel (Allegro moderato)",Max Bruch,Bruch & Dvorak Violin Concertos
Neyim Var Ki (feat. Sagopa K),Ceza,Rapstar
366.Gün,Sagopa Kajmer,366.Gün
Sen De Yalnız Kal,Ayça Özefe,Sen De Yalnız Kal
Müzik Kutusu,Emir Can İğrek,Ağır Roman
summer depression,girl in red,summer depression
Where's My Love,SYML,SYML
bitches broken hearts,Billie Eilish,bitches broken hearts
Buzdan Şato,Model,Diğer Masallar
Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare
Yorgunum Ve Ağrılar,Kaan Boşnak,Yorgunum Ve Ağrılar
Aşk Yok Olmaktır,Mabel Matiz,Yaşım Çocuk
Yeniden,BEGE,Yeniden
Ama Bana Bakma Öyle,VAGON,Mayıs Rüzgarı
Teni Tenime,Sena Şener,Teni Tenime
Caraphernelia,Pierce The Veil,Selfish Machines
Nobody,Mitski,Be the Cowboy
Washing Machine Heart,Mitski,Be the Cowboy
Takip,Motive,Takip
Çok Geç Kaldın,Sena Şener,Çok Geç Kaldın
Porselen Kalbim,Sena Şener,Porselen Kalbim
İnsan Gelir İnsan Geçer,Sena Şener,İnsan Gelir İnsan Geçer
Bak Bana,Sena Şener,İnsan Gelir İnsan Geçer
Sevmemeliyiz,Sena Şener,İnsan Gelir İnsan Geçer
B.S.G,BEGE,BEGEFENDİ
YILDIZLARLA RAKS,BEGE,BEGEFENDİ
Spacejump,BEGE,Spacejump
NERDEYİM ALO?,BEGE,BEGEFENDİ
GECELERİN DERDİ,BEGE,BEGEFENDİ
Böyle İyi,No.1,Sen Kötü Bir Rüyasın
Yarım Kalan Sigara,No.1,Kron1k
Bikinisinde Astronomi - Bonus Trek,Son Feci Bisiklet,Son Feci EP
yine de sen,Ayça Özefe,yine de sen
Gasoline,Halsey,BADLANDS (Deluxe)
Dünyanın Sonuna Doğmuşum,maNga,Şehr-i Hüzün
Beni Benimle Bırak,maNga,Şehr-i Hüzün
Sarılırım Birine,Adamlar,Dünya Günlükleri
Özünde Narin,Beyaz Hayvanlar,İnceler Galeri
Siktiret Boşver,Redd,Yersiz Göksüz Zamanlar
Bir Düşün,Lin Pesto,Bir Düşün
Bir Kadın Çizeceksin,maNga,maNga +
Starboy,The Weeknd,Starboy
Harika,Palmiyeler,Ben-Hür (2019-2020)
Pumped Up Kicks,Foster The People,Torches
Dibine Kadar,Duman,Duman 1
#27,Dolu Kadehi Ters Tut,#27
Ressamın Şarkısı,Bekir Karahan,Ressamın Şarkısı
Geçme Artık Sokağımdan,Madrigal,Geçme Artık Sokağımdan
Hepinize El Salladım,Adamlar,Rüyalarda Buruşmuşuz
Dünya Gül Bana,No.1,Siyah Bayrak
Olmasada Olur,No.1,"Canımız Cehenneme, Pt. II"
Enas Tourkos Sto Parisi,Lavrentis Machairitsas,Pafsilipon
Bizi Nasıl Etkiler,Lucerina,Bizi Nasıl Etkiler
Bal,Duman,Belki Alışman Lazım
Mey,Model,Mey
Obsession - Radio Edit,Consoul Trainin,Obsession
I Love You So,The Walters,I Love You So
Sevdim Seni Bir Kere,Teoman,Gönülçelen
Gözlerinde Bi'yer,Salman Tin,Gözlerinde Bi'yer
Sen Benim Şarkılarımsın,Cem Adrian,Sen Benim Şarkılarımsın
Seni Kendime Sakladım,Duman,Seni Kendime Sakladım
Müzik Kutusu,Model,Levla'nın Hikayesi (Bonus Edition)
Aslında Alkol Hala Damarımda,Palmiyeler,Ben-Hür (2019-2020)
Ağlamam Zaman Aldı - İnkar,Model,Levla'nın Hikayesi (Bonus Edition)
Kalp Hanım,Kalben,Aşk Çeşmesi
Soğuk Şarap,Kendimden Hallice,Soğuk Şarap
Anlat Ona,Yedinci Ev,Şimdi
As It Was,Harry Styles,As It Was
Kalbinde Birileri Var,Perdenin Ardındakiler,Kalbinde Birileri Var
Boş Gemiler,Yüzyüzeyken Konuşuruz,Boş Gemiler
First Love/Late Spring,Mitski,Bury Me At Makeout Creek
Only Love Can Hurt Like This,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition)
Elektrot,Son Feci Bisiklet,Vesaire
Çek,Kalben,Aşk Çeşmesi
Sen Varsın Diye,Yüzyüzeyken Konuşuruz,Sen Varsın Diye
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered)
Used to be (L.O.V.E.),Chelsea Collins,Used to be (L.O.V.E.)
L-O-V-E - Acoustic,The Macarons Project,L-O-V-E (Acoustic)
